lambda,strategy,error,pnl,cost
0.0005,bellman_dp_costs_adaptive,3.016462803531212,3.016462803531212,0.06561743208762252
0.0005,bellman_dp_costs_adaptive,0.26171503876739166,0.26171503876739166,0.06320971530655195
0.0005,bellman_dp_costs_adaptive,0.4370760685918782,0.4370760685918782,0.0636047823100151
0.0005,bellman_dp_costs_adaptive,2.268199664847174,2.268199664847174,0.06549597750050562
0.0005,bellman_dp_costs_adaptive,-0.7341644153130744,-0.7341644153130744,0.06419825874016061
0.0005,bellman_dp_costs_adaptive,-7.048039897755078,-7.048039897755078,0.06980701679311194
0.0005,bellman_dp_costs_adaptive,2.5032194473321354,2.5032194473321354,0.06616804135367696
0.0005,bellman_dp_costs_adaptive,6.944280167405303,6.944280167405303,0.06058141348519517
0.0005,bellman_dp_costs_adaptive,1.107945965762326,1.107945965762326,0.06504056617857157
0.0005,bellman_dp_costs_adaptive,-0.13988877440292047,-0.13988877440292047,0.07578013700738905
0.0005,bellman_dp_costs_adaptive,-0.41650497972877787,-0.41650497972877787,0.07345047326174828
0.0005,bellman_dp_costs_adaptive,-0.4808435566476703,-0.4808435566476703,0.04538415956124404
0.0005,bellman_dp_costs_adaptive,-4.13285515630578,-4.13285515630578,0.045801179559889646
0.0005,bellman_dp_costs_adaptive,3.680229045858404,3.680229045858404,0.0712943853382715
0.0005,bellman_dp_costs_adaptive,-1.8617609781406372,-1.8617609781406372,0.06925672131130207
0.0005,bellman_dp_costs_adaptive,0.7501128926557925,0.7501128926557925,0.09476849086862286
0.0005,bellman_dp_costs_adaptive,-1.2668100549399526,-1.2668100549399526,0.06875254320381004
0.0005,bellman_dp_costs_adaptive,1.8225910943423997,1.8225910943423997,0.08392928689989806
0.0005,bellman_dp_costs_adaptive,0.28538173585146254,0.28538173585146254,0.05546348353024715
0.0005,bellman_dp_costs_adaptive,-1.2458412585085643,-1.2458412585085643,0.07529041279997634
0.0005,bellman_dp_costs_adaptive,-1.714974484093844,-1.714974484093844,0.1225746003401661
0.0005,bellman_dp_costs_adaptive,7.440587677152507,7.440587677152507,0.06997581542239723
0.0005,bellman_dp_costs_adaptive,-4.242591425374002,-4.242591425374002,0.06952717983923462
0.0005,bellman_dp_costs_adaptive,-1.2636274950126198,-1.2636274950126198,0.07534336727407183
0.0005,bellman_dp_costs_adaptive,-2.3000003281755568,-2.3000003281755568,0.04569617056880084
0.0005,bellman_dp_costs_adaptive,5.395806615197516,5.395806615197516,0.07407508358748816
0.0005,bellman_dp_costs_adaptive,5.609175093905584,5.609175093905584,0.06542275704550209
