decision_date,decision_idx,estimation_start,estimation_end,window_observations,mu_hat,sigma_hat,rf_annual,gamma,w_star,w_long_only
2020-11-02,1216,2018-10-31,2020-10-30,504,0.44678075702359943,0.39323350715292377,0.0009,1.5,1.92232333306525,1.0
2020-11-02,1216,2018-10-31,2020-10-30,504,0.44678075702359943,0.39323350715292377,0.0009,3.0,0.961161666532625,0.961161666532625
2020-11-02,1216,2018-10-31,2020-10-30,504,0.44678075702359943,0.39323350715292377,0.0009,5.0,0.5766969999195749,0.5766969999195749
2020-12-01,1236,2018-11-29,2020-11-30,504,0.5696588719682301,0.3848805321467918,0.0009,1.5,2.5596762356423084,1.0
2020-12-01,1236,2018-11-29,2020-11-30,504,0.5696588719682301,0.3848805321467918,0.0009,3.0,1.2798381178211542,1.0
2020-12-01,1236,2018-11-29,2020-11-30,504,0.5696588719682301,0.3848805321467918,0.0009,5.0,0.7679028706926926,0.7679028706926926
2021-01-04,1258,2019-01-03,2020-12-31,504,0.689696509201763,0.37902377076343746,0.0009,1.5,3.1964416618251135,1.0
2021-01-04,1258,2019-01-03,2020-12-31,504,0.689696509201763,0.37902377076343746,0.0009,3.0,1.5982208309125567,1.0
2021-01-04,1258,2019-01-03,2020-12-31,504,0.689696509201763,0.37902377076343746,0.0009,5.0,0.958932498547534,0.958932498547534
2021-02-01,1277,2019-01-31,2021-01-29,504,0.661796304880511,0.3724879405160685,0.0007000000000000001,1.5,3.1765012974068734,1.0
2021-02-01,1277,2019-01-31,2021-01-29,504,0.661796304880511,0.3724879405160685,0.0007000000000000001,3.0,1.5882506487034367,1.0
2021-02-01,1277,2019-01-31,2021-01-29,504,0.661796304880511,0.3724879405160685,0.0007000000000000001,5.0,0.9529503892220621,0.9529503892220621
2021-03-01,1296,2019-02-28,2021-02-26,504,0.5905022492136645,0.37428639378622314,0.0005,1.5,2.807723446719713,1.0
2021-03-01,1296,2019-02-28,2021-02-26,504,0.5905022492136645,0.37428639378622314,0.0005,3.0,1.4038617233598565,1.0
2021-03-01,1296,2019-02-28,2021-02-26,504,0.5905022492136645,0.37428639378622314,0.0005,5.0,0.8423170340159138,0.8423170340159138
2021-04-01,1319,2019-04-02,2021-03-31,504,0.5513376979459305,0.3793876823488252,0.0002,1.5,2.552715444167943,1.0
2021-04-01,1319,2019-04-02,2021-03-31,504,0.5513376979459305,0.3793876823488252,0.0002,3.0,1.2763577220839715,1.0
2021-04-01,1319,2019-04-02,2021-03-31,504,0.5513376979459305,0.3793876823488252,0.0002,5.0,0.7658146332503829,0.7658146332503829
2021-05-03,1340,2019-05-02,2021-04-30,504,0.5400261703141711,0.37935486163859583,0.0004,1.5,2.499829772818119,1.0
2021-05-03,1340,2019-05-02,2021-04-30,504,0.5400261703141711,0.37935486163859583,0.0004,3.0,1.2499148864090595,1.0
2021-05-03,1340,2019-05-02,2021-04-30,504,0.5400261703141711,0.37935486163859583,0.0004,5.0,0.7499489318454357,0.7499489318454357
2021-06-01,1360,2019-05-31,2021-05-28,504,0.5944350376916518,0.3771938480043062,0.0002,1.5,2.784439555565659,1.0
2021-06-01,1360,2019-05-31,2021-05-28,504,0.5944350376916518,0.3771938480043062,0.0002,3.0,1.3922197777828296,1.0
2021-06-01,1360,2019-05-31,2021-05-28,504,0.5944350376916518,0.3771938480043062,0.0002,5.0,0.8353318666696976,0.8353318666696976
2021-07-01,1382,2019-07-02,2021-06-30,504,0.5797619891292144,0.3754981692597796,0.0005,1.5,2.738849222008397,1.0
2021-07-01,1382,2019-07-02,2021-06-30,504,0.5797619891292144,0.3754981692597796,0.0005,3.0,1.3694246110041985,1.0
2021-07-01,1382,2019-07-02,2021-06-30,504,0.5797619891292144,0.3754981692597796,0.0005,5.0,0.8216547666025191,0.8216547666025191
2021-08-02,1403,2019-08-01,2021-07-30,504,0.5839318390053628,0.3765938514498849,0.0005,1.5,2.7425365010930283,1.0
2021-08-02,1403,2019-08-01,2021-07-30,504,0.5839318390053628,0.3765938514498849,0.0005,3.0,1.3712682505465141,1.0
2021-08-02,1403,2019-08-01,2021-07-30,504,0.5839318390053628,0.3765938514498849,0.0005,5.0,0.8227609503279085,0.8227609503279085
2021-09-01,1425,2019-09-03,2021-08-31,504,0.6107985622866934,0.37060284484404854,0.0005,1.5,2.9623310473078166,1.0
2021-09-01,1425,2019-09-03,2021-08-31,504,0.6107985622866934,0.37060284484404854,0.0005,3.0,1.4811655236539083,1.0
2021-09-01,1425,2019-09-03,2021-08-31,504,0.6107985622866934,0.37060284484404854,0.0005,5.0,0.888699314192345,0.888699314192345
2021-10-01,1446,2019-10-02,2021-09-30,504,0.5391284570319661,0.37101923523304703,0.0004,1.5,2.6090704488682257,1.0
2021-10-01,1446,2019-10-02,2021-09-30,504,0.5391284570319661,0.37101923523304703,0.0004,3.0,1.3045352244341129,1.0
2021-10-01,1446,2019-10-02,2021-09-30,504,0.5391284570319661,0.37101923523304703,0.0004,5.0,0.7827211346604678,0.7827211346604678
2021-11-01,1467,2019-10-31,2021-10-29,504,0.5274695855307782,0.3703920406632978,0.0005,1.5,2.5607725163840724,1.0
2021-11-01,1467,2019-10-31,2021-10-29,504,0.5274695855307782,0.3703920406632978,0.0005,3.0,1.2803862581920362,1.0
2021-11-01,1467,2019-10-31,2021-10-29,504,0.5274695855307782,0.3703920406632978,0.0005,5.0,0.7682317549152216,0.7682317549152216
2021-12-01,1488,2019-12-02,2021-11-30,504,0.5294396509464885,0.3718369144575794,0.0006,1.5,2.5499269894628034,1.0
2021-12-01,1488,2019-12-02,2021-11-30,504,0.5294396509464885,0.3718369144575794,0.0006,3.0,1.2749634947314017,1.0
2021-12-01,1488,2019-12-02,2021-11-30,504,0.5294396509464885,0.3718369144575794,0.0006,5.0,0.7649780968388411,0.7649780968388411
2022-01-03,1510,2020-01-03,2021-12-31,504,0.5079486376998704,0.3747555502891213,0.0008,1.5,2.4073977864100318,1.0
2022-01-03,1510,2020-01-03,2021-12-31,504,0.5079486376998704,0.3747555502891213,0.0008,3.0,1.2036988932050159,1.0
2022-01-03,1510,2020-01-03,2021-12-31,504,0.5079486376998704,0.3747555502891213,0.0008,5.0,0.7222193359230096,0.7222193359230096
2022-02-01,1530,2020-02-03,2022-01-31,504,0.48576820834239504,0.37677510257260843,0.0019,1.5,2.272330176830921,1.0
2022-02-01,1530,2020-02-03,2022-01-31,504,0.48576820834239504,0.37677510257260843,0.0019,3.0,1.1361650884154606,1.0
2022-02-01,1530,2020-02-03,2022-01-31,504,0.48576820834239504,0.37677510257260843,0.0019,5.0,0.6816990530492762,0.6816990530492762
2022-03-01,1549,2020-03-02,2022-02-28,504,0.5169846019011748,0.37167761640636376,0.0032,1.5,2.4794594534435364,1.0
2022-03-01,1549,2020-03-02,2022-02-28,504,0.5169846019011748,0.37167761640636376,0.0032,3.0,1.2397297267217682,1.0
2022-03-01,1549,2020-03-02,2022-02-28,504,0.5169846019011748,0.37167761640636376,0.0032,5.0,0.7438378360330608,0.7438378360330608
