lambda,frequency,strategy,band,rmse,mae,pnl_mean,pnl_q01,pnl_q05,pnl_q50,pnl_q95,pnl_q99,mean_total_cost,mean_turnover,mean_n_rebalances,mse,eta,criterion_J
0.002,26,no_trade_band,0.05,1.4888116297704732,1.1315733255742306,-0.4186344174374107,-4.302263031277953,-2.8003367543320388,-0.386070156655002,1.8537388586083456,3.0505577720395016,0.38346757634268075,1.90786057259445,12.85505,2.2165600689398124,1.0,2.600027645282493
0.002,26,no_trade_band,0.1,1.7150429740772972,1.3246668007246387,-0.3806039246562155,-4.760059553237956,-3.1508747631452994,-0.3597268710359742,2.325485720627289,3.5702956525849716,0.326050389308189,1.623121440913453,7.5131,2.9413724029319006,1.0,3.26742279224009
0.002,26,no_trade_band,0.2,2.6596013240387104,2.0476123060175158,-0.42930899608030365,-7.742847884139102,-4.901989454260873,-0.29279357467521305,3.57473253473326,5.022677322215263,0.25012409524644624,1.2467422972333546,3.5684,7.073479202828461,1.0,7.323603298074907
0.002,26,optimized_no_trade_band,0.0,1.428004462702025,1.0730599156277973,-0.4435060508214226,-4.26035739759566,-2.7110289779884575,-0.40850924765334895,1.7120295768147356,2.9227685620994697,0.4253121826272686,2.111873383251719,25.9243,2.039196745496899,1.0,2.4645089281241677
0.002,52,delta_bs,0.0,1.1365800798919075,0.8589765448840976,-0.5687336425741641,-3.3880747789360375,-2.240017091486153,-0.5068125821748284,0.921240569601212,1.7382476161944238,0.5581762641093541,2.7730707078020096,51.6167,1.291814278007095,1.0,1.849990542116449
0.002,52,no_trade_band,0.0,1.1365800798919075,0.8589765448840976,-0.5687336425741641,-3.3880747789360375,-2.240017091486153,-0.5068125821748284,0.921240569601212,1.7382476161944238,0.5581762641093541,2.7730707078020096,51.6167,1.291814278007095,1.0,1.849990542116449
0.002,52,no_trade_band,0.02,1.1381800139724345,0.862391131385731,-0.5503943142521823,-3.3789046797619138,-2.2434536780419263,-0.49370636254008815,0.959039658631683,1.7816190982000313,0.5331140475115244,2.6521977105671284,32.25745,1.2954537442062912,1.0,1.8285677917178156
0.002,52,no_trade_band,0.05,1.1985546050088274,0.9190323189546474,-0.4946260845426668,-3.4966087975304414,-2.321927527213647,-0.4533963925080433,1.2095037593611813,2.0575628202811447,0.463847461871737,2.311075081388794,19.2565,1.4365331411878661,1.0,1.900380603059603
0.002,52,no_trade_band,0.1,1.469871713881938,1.1471074281112732,-0.41751191272744026,-4.037483529255396,-2.766094261070721,-0.39135005441436976,1.8339175485347983,2.8308001125374083,0.3678721635307529,1.8334194590987845,9.61135,2.1605228552702256,1.0,2.5283950188009783
0.002,52,no_trade_band,0.2,2.499276276912586,1.9135860692623217,-0.442122485961458,-7.503555461375076,-4.623278070614817,-0.2897795891174988,3.29003295805023,4.598989643192938,0.2680830065185032,1.3351500773888725,4.06595,6.246381908338036,1.0,6.514464914856539
0.002,52,optimized_no_trade_band,0.02,1.1381800139724345,0.862391131385731,-0.5503943142521823,-3.3789046797619138,-2.2434536780419263,-0.49370636254008815,0.959039658631683,1.7816190982000313,0.5331140475115244,2.6521977105671284,32.25745,1.2954537442062912,1.0,1.8285677917178156
0.002,126,delta_bs,0.0,1.0666464678237442,0.8590150970194275,-0.8161998888192278,-2.8957988172665354,-2.0735241653742,-0.7227393062131142,0.12600639581558049,0.5523738969843721,0.8088028053623458,4.018923561458372,124.29495,1.1377346873208698,1.0,1.9465374926832157
0.002,126,no_trade_band,0.0,1.0666464678237442,0.8590150970194275,-0.8161998888192278,-2.8957988172665354,-2.0735241653742,-0.7227393062131142,0.12600639581558049,0.5523738969843721,0.8088028053623458,4.018923561458372,124.29495,1.1377346873208698,1.0,1.9465374926832157
0.002,126,no_trade_band,0.02,1.0304490406958642,0.8147450948047981,-0.7460025687128811,-2.835950752680838,-2.031700712034574,-0.66775531924706,0.25497635419425674,0.703067144570382,0.7319611570948037,3.6454826860172003,62.56135,1.0618252254710268,1.0,1.7937863825658305
0.002,126,no_trade_band,0.05,1.0339264689762782,0.806813677788894,-0.5989301178713877,-2.8670749460811202,-2.0610362278726653,-0.5505705394798197,0.6851755259432382,1.246082371173792,0.5718972487293142,2.852378552841386,29.34315,1.069003943249755,1.0,1.640901191979069
0.002,126,no_trade_band,0.1,1.3372826082847717,1.0384020774580003,-0.4882095274744741,-3.694651367596394,-2.5885244024810206,-0.4482361684936044,1.4511002499420296,2.2512068113167807,0.4173716302674701,2.0824729064787433,12.36225,1.788324774420922,1.0,2.2056964046883922
0.002,126,no_trade_band,0.2,2.3405831625090743,1.800151050862884,-0.4426685072393245,-6.953960246513155,-4.225394938748259,-0.3225946931648451,3.0160146065380684,4.177538796655375,0.28842570343698415,1.4339304195468046,4.65625,5.4783295406209795,1.0,5.766755244057964
0.002,126,optimized_no_trade_band,0.05,1.0339264689762782,0.806813677788894,-0.5989301178713877,-2.8670749460811202,-2.0610362278726653,-0.5505705394798197,0.6851755259432382,1.246082371173792,0.5718972487293142,2.852378552841386,29.34315,1.069003943249755,1.0,1.640901191979069
0.002,252,delta_bs,0.0,1.2578996960816644,1.1115630382638115,-1.110586901350538,-2.8316670386607545,-2.2163586041235126,-1.0164595827836607,-0.33046169285721505,-0.12121285216945926,1.0980679902719745,5.456529227687245,247.7692,1.5823116454023438,1.0,2.6803796356743184
0.002,252,no_trade_band,0.0,1.2578996960816644,1.1115630382638115,-1.110586901350538,-2.8316670386607545,-2.2163586041235126,-1.0164595827836607,-0.33046169285721505,-0.12121285216945926,1.0980679902719745,5.456529227687245,247.7692,1.5823116454023438,1.0,2.6803796356743184
0.002,252,no_trade_band,0.02,1.1197149452931485,0.9472727962319175,-0.9374873431882216,-2.6780845676641087,-2.0688556001885576,-0.8524620539068675,-0.08601462384769748,0.1853036272015497,0.9216730115715523,4.594253761321508,98.56275,1.2537615587128383,1.0,2.1754345702843905
