lambda,time,S,delta_bs,position_delta_bs,position_optimized,optimized_band
0.0,0.8174603174603174,102.91484582978856,0.6633751244839277,0.6633751244839277,0.6633751244839277,0.0
0.0,0.8214285714285714,105.015005697771,0.7464945743122294,0.7464945743122294,0.7464945743122294,0.0
0.0,0.8253968253968254,105.41418942276255,0.7625396744468821,0.7625396744468821,0.7625396744468821,0.0
0.0,0.8293650793650793,106.6544910493059,0.805772143287139,0.805772143287139,0.805772143287139,0.0
0.0,0.8333333333333333,107.21220377182021,0.8249926373089556,0.8249926373089556,0.8249926373089556,0.0
0.0,0.8373015873015872,106.33716278346172,0.8001994608971095,0.8001994608971095,0.8001994608971095,0.0
0.0,0.8412698412698412,108.46729832014385,0.8642728294697721,0.8642728294697721,0.8642728294697721,0.0
0.0,0.8452380952380952,106.81386490087952,0.8202916330121754,0.8202916330121754,0.8202916330121754,0.0
0.0,0.8492063492063492,105.24126386351445,0.7689625721676749,0.7689625721676749,0.7689625721676749,0.0
0.0,0.8531746031746031,104.69870876867296,0.7504131728199325,0.7504131728199325,0.7504131728199325,0.0
0.0,0.8571428571428571,103.7653427176792,0.7138107828216438,0.7138107828216438,0.7138107828216438,0.0
0.0,0.861111111111111,103.06364160449273,0.6841714281587835,0.6841714281587835,0.6841714281587835,0.0
0.0,0.865079365079365,102.31190853899265,0.6497270997675203,0.6497270997675203,0.6497270997675203,0.0
0.0,0.869047619047619,103.61654559287096,0.7133671557739398,0.7133671557739398,0.7133671557739398,0.0
0.0,0.873015873015873,103.71200835659813,0.7199441116999845,0.7199441116999845,0.7199441116999845,0.0
0.0,0.876984126984127,104.19765453556134,0.7441956145989397,0.7441956145989397,0.7441956145989397,0.0
0.0,0.8809523809523809,102.15805571337116,0.6474376669742088,0.6474376669742088,0.6474376669742088,0.0
0.0,0.8849206349206349,101.09783294076138,0.5904783926797399,0.5904783926797399,0.5904783926797399,0.0
0.0,0.8888888888888888,102.51315042186566,0.669662052608067,0.669662052608067,0.669662052608067,0.0
0.0,0.8928571428571428,100.99412958861869,0.5857287783465819,0.5857287783465819,0.5857287783465819,0.0
0.0,0.8968253968253967,102.529296896042,0.6747476604896752,0.6747476604896752,0.6747476604896752,0.0
0.0,0.9007936507936507,101.23064296747519,0.6014724785182565,0.6014724785182565,0.6014724785182565,0.0
0.0,0.9047619047619047,101.63717856520032,0.6273438674495884,0.6273438674495884,0.6273438674495884,0.0
0.0,0.9087301587301587,100.58326306639115,0.5622488211068326,0.5622488211068326,0.5622488211068326,0.0
0.0,0.9126984126984127,100.85674572857033,0.5806111053799979,0.5806111053799979,0.5806111053799979,0.0
0.0,0.9166666666666666,99.74379765324795,0.5053067874866859,0.5053067874866859,0.5053067874866859,0.0
