lambda,frequency,strategy,band,rmse,mae,pnl_mean,mean_total_cost,mean_turnover,mean_n_rebalances
0.01,26,no_trade_band,0.1,2.4887458015189408,1.9905718496644784,-1.7021045208402743,1.630251946540945,1.623121440913453,7.5131
0.01,26,no_trade_band,0.2,3.074362783398953,2.3780853500409083,-1.4438026749255828,1.2506204762322313,1.2467422972333546,3.5684
0.01,26,optimized_no_trade_band,0.1,2.4887458015189408,1.9905718496644784,-1.7021045208402743,1.630251946540945,1.623121440913453,7.5131
0.01,52,delta_bs,0.0,3.125109093260507,2.829905805087601,-2.8286210544584525,2.79088132054677,2.7730707078020096,51.6167
0.01,52,no_trade_band,0.0,3.125109093260507,2.829905805087601,-2.8286210544584525,2.79088132054677,2.7730707078020096,51.6167
0.01,52,no_trade_band,0.02,3.024854278409034,2.7110183649756525,-2.70895548807354,2.6655702375576222,2.6521977105671284,32.25745
0.01,52,no_trade_band,0.05,2.7525230656852777,2.3875224325795585,-2.3729016271717462,2.319237309358685,2.311075081388794,19.2565
0.01,52,no_trade_band,0.1,2.4913369178668496,2.043404777732964,-1.9075799914452796,1.8393608176537644,1.8334194590987845,9.61135
0.01,52,no_trade_band,0.2,2.9642021416161253,2.293550865869314,-1.52888558865367,1.3404150325925157,1.3351500773888725,4.06595
0.01,52,optimized_no_trade_band,0.1,2.4913369178668496,2.043404777732964,-1.9075799914452796,1.8393608176537644,1.8334194590987845,9.61135
0.01,126,delta_bs,0.0,4.357156703715964,4.088728550254369,-4.088728550254369,4.0440140268117295,4.018923561458372,124.29495
0.01,126,no_trade_band,0.0,4.357156703715964,4.088728550254369,-4.088728550254369,4.0440140268117295,4.018923561458372,124.29495
0.01,126,no_trade_band,0.02,4.008551405837803,3.707703313302073,-3.707703313302073,3.659805785474019,3.6454826860172,62.56135
0.01,126,no_trade_band,0.05,3.251058953757714,2.914227053072682,-2.912986587486777,2.859486243646571,2.852378552841386,29.34315
0.01,126,no_trade_band,0.1,2.6584319921283344,2.241087138785303,-2.177630252408922,2.0868581513373505,2.0824729064787437,12.36225
0.01,126,no_trade_band,0.2,2.869756323508168,2.2373537670741293,-1.611243001035741,1.4421285171849207,1.4339304195468046,4.65625
0.01,126,optimized_no_trade_band,0.1,2.6584319921283344,2.241087138785303,-2.177630252408922,2.0868581513373505,2.0824729064787437,12.36225
0.01,252,delta_bs,0.0,5.893467033672512,5.551874974899474,-5.551874974899474,5.490339951359872,5.456529227687245,247.7692
0.01,252,no_trade_band,0.0,5.893467033672512,5.551874974899474,-5.551874974899474,5.490339951359872,5.456529227687245,247.7692
0.01,252,no_trade_band,0.02,5.052668191096941,4.665101456522994,-4.665101456522994,4.608365057857761,4.594253761321508,98.56275
0.01,252,no_trade_band,0.05,3.698118165208547,3.321791358219937,-3.32134245786204,3.263726893686888,3.2579631144011088,37.92765
0.01,252,no_trade_band,0.1,2.803018876029545,2.391798681447333,-2.3455631726223216,2.2506379632937445,2.247292262144998,14.38395
0.01,252,no_trade_band,0.2,2.7994903154896087,2.198411305428136,-1.6541388510603294,1.5070926952250294,1.4963199312614033,5.0601
0.01,252,optimized_no_trade_band,0.2,2.7994903154896087,2.198411305428136,-1.6541388510603294,1.5070926952250294,1.4963199312614033,5.0601
