gamma,y,x,V_num_t0,V_exact_t0,Vx_num_t0,Vxx_num_t0,pi_num_t0,pi_exact_t0
3.0,0.01499999999999968,1.0151130646157187,-0.45241258672255596,-0.45241870901798004,0.8914877907431956,-2.634909276450591,0.5075057794460911,0.5075565323078592
3.0,0.029999999999999805,1.0304545339535167,-0.43904177410603157,-0.4390477154602808,0.852260083035443,-2.481464105773462,0.515175747083674,0.5152272669767582
3.0,0.04499999999999993,1.046027859908717,-0.42606612872241156,-0.4260718944831057,0.8147584932487519,-2.3369548861795253,0.5229616314378619,0.5230139299543584
3.0,0.06000000000000005,1.0618365465453596,-0.41347397161496807,-0.41347956697168115,0.7789070678479406,-2.200861228390316,0.5308651843653204,0.5309182732726797
3.0,0.07499999999999973,1.0778841508846313,-0.4012539689923085,-0.4012593989812394,0.7446331954446342,-2.0726930482386967,0.5388881841988598,0.5389420754423155
3.0,0.08999999999999986,1.0941742837052102,-0.3893951220271974,-0.38940039153570255,0.7118674597344067,-1.9519888018378195,0.5470324361473092,0.547087141852605
3.0,0.10499999999999998,1.1107106103557052,-0.37788675695687,-0.3778918707278628,0.6805434989050181,-1.8383138235245493,0.5552997727016736,0.5553553051778525
3.0,0.1200000000000001,1.1274968515793757,-0.3667185154759252,-0.3667234781121446,0.6505978712310835,-1.7312587605929306,0.5636920540476541,0.5637484257896878
3.0,0.1349999999999998,1.1445367843513143,-0.3558803454131511,-0.35588516138130494,0.621969926582896,-1.6304380991833327,0.5722111684838878,0.5722683921756571
3.0,0.1499999999999999,1.161834242728283,-0.3453624916838927,-0.3453671653186774,0.5946016835891698,-1.535488776015714,0.5808590328468977,0.5809171213641414
3.0,0.16500000000000004,1.1793931187113906,-0.3351554875098174,-0.33516002301781966,0.5684377122049608,-1.4460688709683558,0.5896375929429017,0.5896965593556952
3.0,0.17999999999999972,1.19721736312181,-0.32525014589817525,-0.32525454736165843,0.5434250214469117,-1.361856375797953,0.5985488239850209,0.5986086815609049
3.0,0.19499999999999984,1.2153109864897307,-0.3156375513728847,-0.31564182275346303,0.5195129520683484,-1.282548034562134,0.6075947310375532,0.6076554932448652
3.0,0.20999999999999996,1.2336780599567432,-0.3063090519500038,-0.3063131970922081,0.4966530739570201,-1.2078582515687313,0.6167773494679297,0.6168390299783715
3.0,0.2250000000000001,1.2523227161918644,-0.29725625135035905,-0.29726027398509713,0.47479908804758447,-1.1375180629245807,0.6260987454039193,0.6261613580959321
3.0,0.23999999999999977,1.2712491503214045,-0.2884710014423285,-0.28847490519024344,0.4539067325501401,-1.0712741679738753,0.6355610161989959,0.6356245751607021
3.0,0.2549999999999999,1.2904616208728898,-0.279945394907973,-0.2799491832827011,0.4339336933050271,-1.0088880171426646,0.6451662909041154,0.6452308104364448
3.0,0.27,1.3099644507332473,-0.27167175812591543,-0.27167543453724996,0.41483951808214364,-0.9501349529033325,0.6549167307462738,0.6549822253666235
3.0,0.2849999999999997,1.3297620281214733,-0.26364264426456524,-0.2636462120215245,0.39658553465138,-0.8948034007630898,0.6648145296159543,0.6648810140607365
3.0,0.2999999999999998,1.349858807576003,-0.25585082657946556,-0.2558542888932713,0.3791347724581541,-0.8426941073691376,0.6748619145596019,0.6749294037880014
3.0,0.31499999999999995,1.3702593109569965,-0.24828929190873622,-0.24829265189570482,0.36245188774535914,-0.7936194229807383,0.685061146280985,0.6851296554784981
3.0,0.33000000000000007,1.3909681284637803,-0.24095123436075488,-0.24095449504510125,0.346503091970216,-0.7474026257268045,0.6954145196504942,0.69548406423189
3.0,0.34499999999999975,1.4119899196676586,-0.23383004918839437,-0.23383321350495478,0.3312560833709102,-0.703877285217267,0.7059243642206626,0.7059949598338292
3.0,0.3599999999999999,1.4333294145603401,-0.22691932684430532,-0.22692239764117797,0.316679981544484,-0.6628866632131959,0.7165930447509263,0.71666470728017
3.0,0.375,1.4549914146182013,-0.22021284721189022,-0.22021582725299965,0.30274526490347947,-0.6242831492001929,0.727422961739424,0.7274957073091005
3.0,0.3899999999999997,1.476980793882642,-0.21370457400677895,-0.21370746597436352,0.28942371088461977,-0.5879277288310141,0.7384165519631606,0.7384903969413209
